curso,turno,qualificacao_previa,nacionalidade,necessidades_especiais,mensalidade_em_dia,sexo,bolsista,aprovacoes,aproveitamentos,matriculas,media,indice_deseprego,indice_inflacao,PIB,STATUS
3,0,1,1,0,1,0,0,12,0,12,64.3876666666667,12.4,0.5,1.79,1
14,1,1,1,0,1,0,1,12,0,12,63.872857142857,11.1,0.6,2.02,1
3,0,1,1,0,1,0,0,14,2,14,51.8873333333333,12.7,3.7,-1.7,1
7,1,1,1,0,1,1,1,10,0,10,35.9047619047619,12.4,0.5,1.79,1
7,1,1,1,0,1,1,0,4,0,10,34.3333333333333,13.9,-0.3,0.79,0
7,1,14,1,0,1,1,0,10,0,10,34.2142857142857,12.4,0.5,1.79,0
15,1,1,1,0,1,0,0,2,0,12,34.0,9.4,-0.8,-3.12,1
10,1,1,1,0,1,0,0,12,0,12,33.9285714285714,11.1,0.6,2.02,0
12,1,3,1,0,1,0,0,15,1,15,33.5877777777778,15.5,2.8,-4.06,1
15,1,1,1,0,1,1,0,12,0,12,33.5,8.9,1.4,3.51,1
3,0,17,1,0,1,0,0,25,20,25,33.4090909090909,8.9,1.4,3.51,1
17,0,6,1,0,1,1,0,10,0,10,33.4,9.4,-0.8,-3.12,1
6,1,3,1,0,1,0,0,12,2,12,33.3571428571429,13.9,-0.3,0.79,1
6,1,15,1,0,1,0,0,12,0,12,33.2857142857143,11.1,0.6,2.02,1
12,1,1,1,0,1,0,1,15,0,15,33.2777777777778,16.2,0.3,-0.92,1
6,1,1,1,0,1,0,0,12,0,12,33.0952380952381,13.9,-0.3,0.79,0
9,1,1,1,0,1,0,0,10,0,10,33.0,7.6,2.6,0.32,1
10,1,1,1,0,1,0,0,12,0,12,33.0,12.4,0.5,1.79,1
14,1,1,1,0,1,0,0,12,0,12,32.7380952380952,16.2,0.3,-0.92,1
4,1,3,1,0,1,1,0,12,3,12,32.6825396825397,13.9,-0.3,0.79,1
12,1,15,1,0,1,0,0,15,7,15,32.6301587301587,16.2,0.3,-0.92,1
17,0,1,1,0,1,1,0,10,0,10,32.6,8.9,1.4,3.51,1
9,1,1,1,0,1,0,0,10,0,10,32.6,11.1,0.6,2.02,1
5,1,1,1,0,1,1,0,9,1,12,32.5,13.9,-0.3,0.79,1
6,1,1,1,0,1,0,0,12,0,12,32.5,8.9,1.4,3.51,1
7,1,1,4,0,1,1,0,10,0,10,32.4,8.9,1.4,3.51,1
16,1,1,1,0,1,0,1,12,0,12,32.3428571428571,9.4,-0.8,-3.12,1
6,1,1,1,0,1,0,0,12,0,12,32.2380952380952,13.9,-0.3,0.79,1
7,1,1,1,0,1,1,0,10,0,10,32.2,8.9,1.4,3.51,1
4,1,1,1,0,0,1,0,9,0,12,32.1666666666667,8.9,1.4,3.51,0
10,1,1,1,0,1,0,0,9,0,12,32.15,9.4,-0.8,-3.12,1
6,1,1,1,0,1,0,0,12,0,12,32.0476190476191,13.9,-0.3,0.79,1
17,0,1,1,0,1,1,1,10,0,10,32.0,8.9,1.4,3.51,1
